record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
3,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,No,No
6,No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
11,No,No,No,15 years old,Male,0 times,1 time,Never,3 or more,3 to 5 days,Most of the time,Always,No,Yes,No,No,No
23,No,No,Yes,13 years old,Male,0 times,2 or 3 times,Most of the time,3 or more,0 days,Rarely,Always,Yes,No,No,No,No
24,No,No,No,14 years old,Male,0 times,2 or 3 times,Most of the time,2,0 days,Always,Sometimes,Yes,No,No,Yes,Yes
32,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
34,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
38,No,No,No,13 years old,Male,0 times,8 or 9 times,Rarely,3 or more,10 or more days,Always,Rarely,No,Yes,No,No,No
40,No,No,Yes,13 years old,Female,0 times,1 time,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
42,Yes,No,Yes,13 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
43,Yes,No,No,15 years old,Male,1 time,0 times,Never,3 or more,0 days,Never,Sometimes,No,No,No,No,No
44,No,No,No,14 years old,Female,1 time,0 times,Never,3 or more,1 or 2 days,Always,Always,No,Yes,No,Yes,No
46,Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Always,No,No,No,No,No
48,No,No,No,15 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,No,No
49,No,No,Yes,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
50,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,No,No
51,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
53,No,Yes,Yes,14 years old,Female,0 times,2 or 3 times,Rarely,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,Yes,No
55,No,Yes,Yes,16 years old,Male,4 or 5 times,2 or 3 times,Most of the time,0,10 or more days,Sometimes,Always,Yes,Yes,No,No,No
57,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,Yes,No,No
58,No,No,No,15 years old,Male,0 times,4 or 5 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
59,No,No,No,16 years old,Male,0 times,2 or 3 times,Never,3 or more,10 or more days,Most of the time,Always,No,Yes,No,No,No
60,Yes,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
61,No,No,Yes,15 years old,Female,0 times,0 times,Always,3 or more,0 days,Sometimes,Most of the time,Yes,No,No,No,No
62,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
65,No,Yes,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Always,Yes,No,No,Yes,No
67,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
70,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,Yes,Yes
74,No,No,No,16 years old,Male,0 times,0 times,Never,2,0 days,Most of the time,Always,No,No,No,No,No
76,No,No,No,16 years old,Female,0 times,0 times,Sometimes,2,0 days,Sometimes,Sometimes,No,No,No,No,No
77,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,No,No
78,No,Yes,Yes,14 years old,Female,0 times,0 times,Always,3 or more,1 or 2 days,Rarely,Rarely,Yes,Yes,No,No,No
79,No,No,Yes,15 years old,Male,0 times,0 times,Always,3 or more,0 days,Always,Never,Yes,No,No,No,No
80,No,No,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Never,No,No,No,No,No
81,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
82,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,Yes,No
85,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,Yes,No
88,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,No,Yes,No
89,No,No,No,15 years old,Female,0 times,0 times,Most of the time,1,0 days,Sometimes,Always,Yes,No,No,No,No
95,No,No,Yes,17 years old,Male,1 time,1 time,Sometimes,2,0 days,Sometimes,Most of the time,No,No,No,No,No
97,Yes,Yes,Yes,16 years old,Female,1 time,1 time,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,No,No
99,No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
100,No,No,No,16 years old,Male,0 times,0 times,Never,1,10 or more days,Rarely,Never,No,Yes,No,No,No
106,No,No,No,17 years old,Female,0 times,0 times,Most of the time,2,6 to 9 days,Rarely,Always,Yes,Yes,No,No,No
107,No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,Yes
110,No,No,No,17 years old,Female,0 times,2 or 3 times,Always,1,0 days,Sometimes,Never,Yes,No,No,No,No
113,No,Yes,Yes,17 years old,Male,1 time,1 time,Never,1,10 or more days,Sometimes,Most of the time,No,Yes,No,No,No
114,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
115,Yes,No,No,12 years old,Male,0 times,0 times,Rarely,2,0 days,Sometimes,Never,No,No,No,Yes,No
116,No,No,No,13 years old,Male,1 time,1 time,Rarely,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
117,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,No
118,Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
119,Yes,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,No,No
120,No,No,No,14 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,Yes,No,No
121,No,No,No,13 years old,Male,0 times,4 or 5 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,Yes,Yes
122,Yes,Yes,Yes,13 years old,Female,0 times,0 times,Most of the time,1,0 days,Always,Always,Yes,No,No,Yes,No
123,Yes,No,Yes,13 years old,Female,0 times,0 times,Always,1,1 or 2 days,Sometimes,Never,Yes,Yes,No,Yes,No
124,No,Yes,Yes,13 years old,Male,0 times,1 time,Never,3 or more,1 or 2 days,Most of the time,Always,No,Yes,No,Yes,No
125,No,Yes,No,14 years old,Male,0 times,4 or 5 times,Never,3 or more,6 to 9 days,Most of the time,Rarely,No,Yes,No,Yes,No
126,Yes,No,Yes,13 years old,Female,1 time,0 times,Most of the time,2,0 days,Most of the time,Never,Yes,No,No,No,No
129,Yes,Yes,Yes,14 years old,Female,10 or 11 times,1 time,Always,3 or more,0 days,Sometimes,Most of the time,Yes,No,No,No,No
130,No,No,No,13 years old,Male,0 times,4 or 5 times,Never,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes,No,Yes,No
132,Yes,No,Yes,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,No,No
133,No,Yes,Yes,13 years old,Female,0 times,1 time,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
134,No,No,No,13 years old,Male,0 times,6 or 7 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
137,No,No,Yes,13 years old,Male,1 time,2 or 3 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,Yes,No,No
138,Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
139,Yes,No,No,13 years old,Female,0 times,0 times,Sometimes,1,0 days,Sometimes,Rarely,No,No,No,No,No
140,No,Yes,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Never,No,No,No,No,No
141,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
142,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,Yes
144,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,Yes,No
145,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,No,No
147,No,No,No,14 years old,Male,0 times,2 or 3 times,Never,2,0 days,Most of the time,Most of the time,No,No,No,No,No
148,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
149,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
150,No,No,No,14 years old,Female,0 times,0 times,Sometimes,2,3 to 5 days,Never,Never,No,Yes,No,No,No
151,No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Never,No,Yes,No,Yes,No
153,No,No,No,15 years old,Female,0 times,1 time,Sometimes,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
155,Yes,No,No,14 years old,Male,1 time,0 times,Sometimes,0,0 days,Always,Sometimes,No,No,No,No,No
158,No,No,No,14 years old,Male,0 times,2 or 3 times,Never,2,3 to 5 days,Never,Never,No,Yes,No,No,No
159,No,No,No,13 years old,Male,0 times,0 times,Sometimes,3 or more,3 to 5 days,Rarely,Never,No,Yes,No,No,No
161,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
163,Yes,Yes,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,Yes
164,No,No,No,14 years old,Male,0 times,0 times,Never,2,0 days,Rarely,Sometimes,No,No,No,Yes,Yes
166,No,Yes,Yes,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Sometimes,Yes,No,No,No,No
167,No,Yes,Yes,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,No
168,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Sometimes,No,No,No,Yes,No
169,No,No,Yes,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,No
170,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Never,No,No,No,No,No
171,Yes,Yes,No,15 years old,Female,0 times,0 times,Most of the time,2,0 days,Most of the time,Always,Yes,No,No,Yes,No
172,Yes,No,No,15 years old,Female,0 times,1 time,Most of the time,3 or more,0 days,Always,Never,Yes,No,No,Yes,No
173,Yes,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Always,Most of the time,Yes,No,No,No,No
174,Yes,Yes,Yes,15 years old,Female,0 times,2 or 3 times,Most of the time,0,1 or 2 days,Rarely,Never,Yes,Yes,No,No,No
175,Yes,Yes,Yes,15 years old,Female,2 or 3 times,0 times,Always,0,0 days,Rarely,Rarely,Yes,No,No,No,No
177,Yes,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
178,No,Yes,No,15 years old,Male,2 or 3 times,1 time,Rarely,3 or more,6 to 9 days,Most of the time,Always,No,Yes,No,No,No
179,No,No,No,15 years old,Female,0 times,0 times,Most of the time,2,0 days,Sometimes,Rarely,Yes,No,No,Yes,No
181,No,No,No,15 years old,Male,0 times,1 time,Always,0,0 days,Rarely,Never,Yes,No,No,No,No
182,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,Yes,Yes
185,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Rarely,No,No,No,No,No
186,Yes,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,No,No
187,No,No,No,15 years old,Female,2 or 3 times,4 or 5 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,No
188,Yes,Yes,No,15 years old,Female,4 or 5 times,2 or 3 times,Sometimes,2,0 days,Sometimes,Always,No,No,No,No,No
189,No,Yes,No,15 years old,Male,2 or 3 times,4 or 5 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
190,Yes,No,No,16 years old,Male,0 times,0 times,Sometimes,2,0 days,Never,Always,No,No,No,No,No
191,Yes,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
192,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,6 to 9 days,Most of the time,Sometimes,No,Yes,No,No,No
193,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,Yes
194,Yes,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,Yes,Yes
195,Yes,Yes,Yes,15 years old,Male,0 times,0 times,Rarely,1,0 days,Most of the time,Sometimes,No,No,No,No,No
196,Yes,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
197,No,Yes,Yes,15 years old,Female,4 or 5 times,4 or 5 times,Sometimes,3 or more,1 or 2 days,Rarely,Never,No,Yes,No,Yes,No
200,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Always,No,No,No,Yes,No
201,Yes,Yes,Yes,16 years old,Male,0 times,0 times,Never,2,0 days,Sometimes,Never,No,No,No,No,No
202,No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Never,No,No,No,Yes,Yes
205,No,No,No,16 years old,Female,0 times,0 times,Sometimes,1,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
206,No,Yes,No,17 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
207,No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,No,No
208,No,Yes,Yes,16 years old,Male,0 times,0 times,Rarely,2,0 days,Most of the time,Most of the time,No,No,No,No,No
211,No,Yes,Yes,16 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Always,No,Yes,No,No,No
215,No,Yes,Yes,17 years old,Male,12 or more times,0 times,Sometimes,3 or more,1 or 2 days,Always,Rarely,No,Yes,No,Yes,No
216,No,No,No,17 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
217,No,No,No,17 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Rarely,No,No,No,No,No
218,Yes,Yes,Yes,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Always,Never,No,No,No,Yes,Yes
219,Yes,Yes,Yes,16 years old,Male,12 or more times,10 or 11 times,Sometimes,2,1 or 2 days,Most of the time,Sometimes,No,Yes,No,No,No
220,Yes,No,No,16 years old,Female,1 time,1 time,Sometimes,2,3 to 5 days,Sometimes,Sometimes,No,Yes,No,No,No
223,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Never,No,No,No,Yes,No
224,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
225,Yes,No,No,13 years old,Male,0 times,1 time,Rarely,3 or more,1 or 2 days,Sometimes,Rarely,No,Yes,No,No,No
226,No,No,Yes,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
227,No,No,No,13 years old,Female,0 times,0 times,Rarely,2,0 days,Sometimes,Most of the time,No,No,No,No,No
229,Yes,Yes,Yes,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
233,No,Yes,Yes,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Most of the time,Always,No,No,No,Yes,No
236,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Most of the time,No,No,No,No,No
237,No,Yes,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
238,Yes,No,No,13 years old,Female,0 times,0 times,Always,3 or more,0 days,Always,Always,Yes,No,No,Yes,No
240,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
241,No,No,Yes,13 years old,Male,0 times,2 or 3 times,Never,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
242,No,No,No,13 years old,Female,0 times,0 times,Sometimes,2,0 days,Always,Rarely,No,No,No,No,No
243,No,Yes,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
244,Yes,No,No,12 years old,Female,0 times,0 times,Most of the time,2,0 days,Sometimes,Most of the time,Yes,No,No,Yes,No
247,No,No,Yes,13 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
251,No,No,Yes,13 years old,Female,1 time,0 times,Rarely,3 or more,0 days,Most of the time,Never,No,No,No,Yes,No
252,Yes,Yes,No,14 years old,Male,0 times,2 or 3 times,Rarely,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes,No,Yes,No
257,No,No,No,13 years old,Female,1 time,0 times,Always,0,0 days,Rarely,Sometimes,Yes,No,Yes,No,No
260,Yes,No,Yes,13 years old,Male,1 time,1 time,Sometimes,3 or more,1 or 2 days,Sometimes,Always,No,Yes,No,No,No
261,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Never,No,No,No,No,No
262,Yes,No,No,13 years old,Female,2 or 3 times,2 or 3 times,Sometimes,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes,No,No,No
263,Yes,Yes,Yes,13 years old,Male,0 times,0 times,Sometimes,0,1 or 2 days,Rarely,Sometimes,No,Yes,No,Yes,Yes
264,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,No,No
265,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Sometimes,Always,No,Yes,No,Yes,No
267,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
268,Yes,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,No,No
270,Yes,Yes,Yes,13 years old,Male,2 or 3 times,0 times,Rarely,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
273,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
274,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,Yes,No
276,No,No,No,13 years old,Male,0 times,0 times,Never,1,0 days,Sometimes,Always,No,No,No,Yes,No
277,No,No,No,14 years old,Male,1 time,4 or 5 times,Always,0,0 days,Rarely,Rarely,Yes,No,No,Yes,Yes
280,No,No,No,14 years old,Male,0 times,4 or 5 times,Never,3 or more,0 days,Most of the time,Rarely,No,No,No,Yes,No
281,Yes,Yes,No,14 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,Yes,Yes
284,No,No,No,14 years old,Female,0 times,0 times,Never,2,0 days,Rarely,Sometimes,No,No,No,No,No
285,Yes,No,Yes,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Most of the time,No,No,No,Yes,Yes
287,No,No,No,14 years old,Male,0 times,0 times,Most of the time,0,1 or 2 days,Sometimes,Rarely,Yes,Yes,No,Yes,Yes
288,No,No,No,15 years old,Male,2 or 3 times,1 time,Sometimes,2,0 days,Never,Never,No,No,No,Yes,No
289,No,Yes,Yes,14 years old,Female,0 times,0 times,Most of the time,2,0 days,Most of the time,Rarely,Yes,No,No,Yes,No
290,No,Yes,Yes,15 years old,Male,0 times,1 time,Sometimes,2,0 days,Rarely,Sometimes,No,No,No,No,No
291,No,Yes,No,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Sometimes,No,No,No,No,No
292,No,No,No,15 years old,Male,4 or 5 times,1 time,Sometimes,2,0 days,Rarely,Most of the time,No,No,No,No,No
294,No,No,Yes,14 years old,Female,1 time,4 or 5 times,Most of the time,3 or more,0 days,Rarely,Rarely,Yes,No,No,No,No
296,No,No,No,14 years old,Male,0 times,0 times,Most of the time,1,0 days,Sometimes,Rarely,Yes,No,No,Yes,No
297,No,No,No,14 years old,Female,0 times,0 times,Rarely,1,0 days,Sometimes,Sometimes,No,No,No,Yes,No
299,No,No,No,14 years old,Female,0 times,0 times,Never,1,0 days,Sometimes,Most of the time,No,No,No,No,No
300,No,Yes,No,14 years old,Male,0 times,0 times,Sometimes,1,0 days,Rarely,Never,No,No,No,Yes,No
302,Yes,Yes,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
303,No,No,No,14 years old,Female,0 times,0 times,Rarely,1,0 days,Most of the time,Never,No,No,No,Yes,No
304,No,Yes,Yes,15 years old,Female,0 times,2 or 3 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
308,No,Yes,Yes,14 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
309,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,Yes,No,No
310,Yes,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Always,No,No,No,No,No
312,No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
313,No,Yes,No,15 years old,Male,1 time,1 time,Never,3 or more,0 days,Always,Rarely,No,No,No,Yes,Yes
314,No,Yes,Yes,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Rarely,Yes,No,No,No,No
315,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
316,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Rarely,No,No,No,No,No
317,Yes,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Sometimes,No,No,No,Yes,No
318,No,No,No,15 years old,Male,0 times,0 times,Rarely,1,0 days,Rarely,Rarely,No,No,No,No,No
319,No,No,No,17 years old,Male,0 times,1 time,Sometimes,3 or more,0 days,Sometimes,Rarely,No,No,No,No,No
320,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
322,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Rarely,No,No,No,No,No
323,No,No,No,16 years old,Female,0 times,0 times,Most of the time,1,0 days,Sometimes,Rarely,Yes,No,No,No,No
324,Yes,No,Yes,15 years old,Female,0 times,0 times,Most of the time,0,0 days,Never,Never,Yes,No,No,No,No
325,No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
326,No,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Never,Yes,No,No,No,No
328,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,Yes,Yes
329,No,Yes,No,15 years old,Female,2 or 3 times,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Never,No,Yes,No,No,No
330,No,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
332,Yes,No,Yes,15 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
333,No,No,No,15 years old,Female,0 times,0 times,Rarely,2,0 days,Rarely,Most of the time,No,No,No,No,No
337,No,No,Yes,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,Yes,No
338,No,No,Yes,15 years old,Female,1 time,0 times,Most of the time,2,0 days,Sometimes,Always,Yes,No,No,No,No
340,No,Yes,Yes,15 years old,Female,1 time,0 times,Rarely,3 or more,1 or 2 days,Never,Rarely,No,Yes,No,No,No
341,No,No,No,16 years old,Female,0 times,0 times,Rarely,2,0 days,Most of the time,Always,No,No,No,No,No
343,No,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,1,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
344,No,Yes,Yes,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
345,Yes,No,Yes,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Always,Yes,No,No,No,No
346,No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
347,No,No,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Never,Yes,No,No,Yes,No
349,No,No,No,15 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,Yes,No
350,No,Yes,Yes,15 years old,Male,0 times,0 times,Most of the time,3 or more,1 or 2 days,Sometimes,Most of the time,Yes,Yes,No,Yes,No
353,No,No,No,16 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
355,No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,6 to 9 days,Most of the time,Most of the time,No,Yes,No,No,No
356,No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No,No,No,No
357,No,No,No,15 years old,Male,0 times,4 or 5 times,Never,3 or more,0 days,Rarely,Rarely,No,No,No,Yes,Yes
358,Yes,No,Yes,15 years old,Female,0 times,0 times,Most of the time,2,1 or 2 days,Sometimes,Never,Yes,Yes,No,No,No
359,No,No,No,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No,No,Yes,No
360,No,No,Yes,15 years old,Male,0 times,2 or 3 times,Sometimes,3 or more,0 days,Always,Always,No,No,No,Yes,No
361,No,No,No,17 years old,Female,0 times,0 times,Never,1,0 days,Rarely,Sometimes,No,No,No,No,No
362,No,No,No,16 years old,Male,0 times,2 or 3 times,Rarely,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
363,No,No,No,16 years old,Female,0 times,0 times,Sometimes,0,0 days,Rarely,Sometimes,No,No,No,No,No
364,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
365,No,No,Yes,16 years old,Female,0 times,2 or 3 times,Sometimes,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
366,No,No,No,16 years old,Male,0 times,2 or 3 times,Rarely,0,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
